@relation openSMILE_features

@attribute name string
@attribute F0semitoneFrom27.5Hz_sma3nz_amean numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_stddevNorm numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_percentile20.0 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_percentile50.0 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_percentile80.0 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope numeric
@attribute loudness_sma3_amean numeric
@attribute loudness_sma3_stddevNorm numeric
@attribute loudness_sma3_percentile20.0 numeric
@attribute loudness_sma3_percentile50.0 numeric
@attribute loudness_sma3_percentile80.0 numeric
@attribute loudness_sma3_pctlrange0-2 numeric
@attribute loudness_sma3_meanRisingSlope numeric
@attribute loudness_sma3_stddevRisingSlope numeric
@attribute loudness_sma3_meanFallingSlope numeric
@attribute loudness_sma3_stddevFallingSlope numeric
@attribute jitterLocal_sma3nz_amean numeric
@attribute jitterLocal_sma3nz_stddevNorm numeric
@attribute shimmerLocaldB_sma3nz_amean numeric
@attribute shimmerLocaldB_sma3nz_stddevNorm numeric
@attribute HNRdBACF_sma3nz_amean numeric
@attribute HNRdBACF_sma3nz_stddevNorm numeric
@attribute logRelF0-H1-H2_sma3nz_amean numeric
@attribute logRelF0-H1-H2_sma3nz_stddevNorm numeric
@attribute logRelF0-H1-A3_sma3nz_amean numeric
@attribute logRelF0-H1-A3_sma3nz_stddevNorm numeric
@attribute F1frequency_sma3nz_amean numeric
@attribute F1frequency_sma3nz_stddevNorm numeric
@attribute F1bandwidth_sma3nz_amean numeric
@attribute F1bandwidth_sma3nz_stddevNorm numeric
@attribute F1amplitudeLogRelF0_sma3nz_amean numeric
@attribute F1amplitudeLogRelF0_sma3nz_stddevNorm numeric
@attribute F2frequency_sma3nz_amean numeric
@attribute F2frequency_sma3nz_stddevNorm numeric
@attribute F2amplitudeLogRelF0_sma3nz_amean numeric
@attribute F2amplitudeLogRelF0_sma3nz_stddevNorm numeric
@attribute F3frequency_sma3nz_amean numeric
@attribute F3frequency_sma3nz_stddevNorm numeric
@attribute F3amplitudeLogRelF0_sma3nz_amean numeric
@attribute F3amplitudeLogRelF0_sma3nz_stddevNorm numeric
@attribute alphaRatioV_sma3nz_amean numeric
@attribute alphaRatioV_sma3nz_stddevNorm numeric
@attribute hammarbergIndexV_sma3nz_amean numeric
@attribute hammarbergIndexV_sma3nz_stddevNorm numeric
@attribute slopeV0-500_sma3nz_amean numeric
@attribute slopeV0-500_sma3nz_stddevNorm numeric
@attribute slopeV500-1500_sma3nz_amean numeric
@attribute slopeV500-1500_sma3nz_stddevNorm numeric
@attribute alphaRatioUV_sma3nz_amean numeric
@attribute hammarbergIndexUV_sma3nz_amean numeric
@attribute slopeUV0-500_sma3nz_amean numeric
@attribute slopeUV500-1500_sma3nz_amean numeric
@attribute loudnessPeaksPerSec numeric
@attribute VoicedSegmentsPerSec numeric
@attribute MeanVoicedSegmentLengthSec numeric
@attribute StddevVoicedSegmentLengthSec numeric
@attribute MeanUnvoicedSegmentLength numeric
@attribute StddevUnvoicedSegmentLength numeric
@attribute class numeric

@data

'Ses01F_script03_1_F000.wav',3.656542e+01,3.661101e-02,3.510984e+01,3.691533e+01,3.800071e+01,2.890869e+00,4.506826e+01,1.870958e+01,3.455079e+01,2.431286e+01,1.990066e-01,8.424597e-01,1.038127e-01,1.140261e-01,2.880647e-01,1.842520e-01,2.430767e+00,1.774051e+00,4.122252e+00,2.209247e+00,2.148375e-02,5.693741e-01,1.247051e+00,5.209550e-01,6.986874e+00,4.288597e-01,1.050446e+01,1.023011e+00,1.589464e+01,8.822054e-01,6.819282e+02,2.307217e-01,1.484495e+03,1.466652e-01,-1.782573e+02,-3.151874e-01,1.698470e+03,9.461698e-02,-1.775149e+02,-3.120947e-01,2.634771e+03,6.623743e-02,-1.774964e+02,-3.120036e-01,-1.182050e+01,-4.783573e-01,1.662581e+01,3.394502e-01,3.385348e-02,7.714566e-01,-1.227471e-02,-9.660835e-01,-1.103028e+01,1.965805e+01,-2.657396e-03,2.293746e-03,1.388889e+00,1.895735e+00,6.000000e-02,3.391165e-02,3.560000e-01,3.697891e-01,3
'Ses01F_script03_1_F001.wav',3.774300e+01,1.150831e-01,3.386476e+01,3.669503e+01,4.142319e+01,7.558434e+00,3.831933e+01,1.656188e+01,1.172320e-01,2.248124e+01,2.524813e-01,9.131144e-01,9.971763e-02,1.262552e-01,4.058740e-01,3.061563e-01,3.682823e+00,3.067286e+00,3.660383e+00,3.277119e+00,2.871144e-02,9.203463e-01,1.198886e+00,6.765044e-01,9.767488e+00,2.423133e-01,8.729121e+00,6.484653e-01,2.082822e+01,6.089340e-01,7.555880e+02,2.468790e-01,1.515765e+03,1.486474e-01,-1.680518e+02,-4.042492e-01,1.642160e+03,8.726230e-02,-1.660105e+02,-4.132491e-01,2.606967e+03,7.044518e-02,-1.677807e+02,-3.877652e-01,-1.502932e+01,-3.900946e-01,2.643603e+01,3.215635e-01,3.633159e-02,7.537574e-01,-5.055918e-03,-2.289214e+00,-9.435745e+00,1.914768e+01,-1.626607e-03,4.194150e-03,2.015504e+00,7.812501e-01,2.460000e-01,2.026425e-01,8.433334e-01,1.168256e+00,3
'Ses01F_script03_1_F002.wav',3.843211e+01,1.627757e-01,3.266063e+01,3.554161e+01,4.277026e+01,1.010963e+01,5.484297e+01,1.156672e+01,-6.528145e+00,2.274582e+01,3.725941e-01,7.531002e-01,9.586273e-02,3.499770e-01,6.210339e-01,5.251712e-01,5.064384e+00,3.407961e+00,4.473900e+00,2.303980e+00,2.647382e-02,9.520097e-01,1.193403e+00,6.207906e-01,8.799155e+00,2.915746e-01,5.804088e+00,1.328661e+00,1.691411e+01,5.297543e-01,7.590036e+02,2.653192e-01,1.403192e+03,1.510132e-01,-1.349413e+02,-6.490523e-01,1.669603e+03,1.020385e-01,-1.341430e+02,-6.351563e-01,2.574935e+03,7.011379e-02,-1.364780e+02,-6.027249e-01,-1.126365e+01,-4.801750e-01,2.244353e+01,3.501273e-01,4.213985e-02,6.502787e-01,-8.434065e-03,-1.456027e+00,-7.846581e+00,1.871238e+01,2.309236e-03,4.970247e-03,2.550091e+00,1.470588e+00,2.412500e-01,1.848944e-01,4.162500e-01,5.730169e-01,3
'Ses01F_script03_1_M000.wav',0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.041068e-01,7.334323e-01,1.253357e-01,1.392709e-01,1.960852e-01,7.074951e-02,4.189305e+00,4.035657e+00,1.427654e+00,1.052577e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.010000e+02,0.000000e+00,0.000000e+00,0.000000e+00,-2.010000e+02,0.000000e+00,0.000000e+00,0.000000e+00,-2.010000e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-7.537986e+00,1.545347e+01,-5.214156e-03,3.377089e-03,1.595745e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.820000e+00,0.000000e+00,3
'Ses01F_script03_1_M001.wav',2.425179e+01,5.085030e-02,2.304966e+01,2.361562e+01,2.569383e+01,2.644175e+00,7.814599e+00,0.000000e+00,1.917513e+01,0.000000e+00,1.593260e-01,3.075600e-01,1.221590e-01,1.436227e-01,1.810712e-01,5.891219e-02,7.560990e-01,5.890308e-01,5.653514e-01,4.961721e-01,2.078911e-02,8.529960e-01,1.599882e+00,1.100371e+00,4.428573e+00,2.699687e-01,8.527326e+00,3.450596e-01,3.041893e+01,1.510810e-01,5.061420e+02,2.077223e-01,1.488750e+03,1.014039e-01,-1.768368e+02,-3.514326e-01,1.416485e+03,8.180575e-02,-1.785548e+02,-3.229051e-01,2.359481e+03,4.991871e-02,-1.792814e+02,-3.113575e-01,-1.833053e+01,-2.570947e-01,2.815068e+01,9.916921e-02,5.001329e-03,2.439730e+00,-1.211133e-02,-4.023440e-01,-9.246463e+00,1.731749e+01,-1.396825e-02,3.908942e-03,3.208556e+00,5.494506e-01,2.200000e-01,0.000000e+00,7.850000e-01,5.000000e-03,3
'Ses01F_script03_1_M002.wav',2.680930e+01,1.074135e-01,2.416923e+01,2.649479e+01,3.023557e+01,6.066341e+00,5.214854e+01,0.000000e+00,-5.049207e+01,5.651326e+01,1.522800e-01,4.673861e-01,1.162281e-01,1.225293e-01,1.844987e-01,6.827064e-02,1.759902e+00,1.510384e+00,1.356284e+00,6.690499e-01,5.297679e-02,1.088837e+00,1.054341e+00,1.095151e+00,5.238622e+00,4.474041e-01,3.753108e+00,1.715667e+00,2.460729e+01,1.873477e-01,5.182488e+02,2.186743e-01,1.429550e+03,6.911465e-02,-1.767608e+02,-3.422709e-01,1.497929e+03,9.340656e-02,-1.781013e+02,-3.159959e-01,2.475176e+03,7.430784e-02,-1.788670e+02,-3.037998e-01,-1.927196e+01,-2.081201e-01,2.819498e+01,1.742073e-01,5.150141e-03,3.834786e+00,-1.467315e-02,-6.247149e-01,-1.112649e+01,1.865420e+01,-1.180222e-02,2.096948e-03,1.079137e+00,1.098901e+00,1.100000e-01,1.003328e-01,5.825000e-01,4.776701e-01,3
'Ses01F_script03_1_M003.wav',4.019597e+01,1.246925e-01,3.254692e+01,4.248941e+01,4.282835e+01,1.028143e+01,2.505354e+01,1.468001e+01,1.817834e+01,0.000000e+00,3.814670e-01,2.570134e-01,3.025936e-01,3.887632e-01,4.628238e-01,1.602302e-01,2.470772e+00,1.004777e+00,1.582788e+00,1.243655e+00,1.727473e-02,8.446407e-01,9.939052e-01,4.912359e-01,8.599795e+00,3.431452e-01,5.941423e+00,9.923245e-01,1.597758e+01,5.285314e-01,7.388528e+02,2.233745e-01,1.535788e+03,1.785251e-01,-1.220882e+02,-7.403885e-01,1.606875e+03,5.520263e-02,-1.201243e+02,-7.232034e-01,2.498333e+03,4.968609e-02,-1.227103e+02,-6.846978e-01,-1.193506e+01,-4.368673e-01,2.263312e+01,3.167470e-01,3.429294e-02,6.049990e-01,-7.218468e-03,-7.865149e-01,-6.088736e+00,1.414659e+01,1.480360e-02,-6.149477e-03,4.195804e+00,2.222222e+00,1.933333e-01,8.498365e-02,2.366666e-01,2.080598e-01,3
'Ses01M_script03_1_F001.wav',3.574772e+01,1.226391e-01,3.264352e+01,3.514912e+01,4.014938e+01,7.505859e+00,8.074928e+01,5.476660e+01,2.977740e+01,1.228126e+01,4.294021e-01,8.648279e-01,1.482361e-01,1.916070e-01,7.121380e-01,5.639019e-01,5.715211e+00,3.185030e+00,5.912079e+00,2.869862e+00,4.243708e-02,1.547102e+00,1.043045e+00,7.254660e-01,9.572320e+00,3.030811e-01,8.952268e+00,8.755869e-01,2.281402e+01,5.246951e-01,6.849523e+02,2.978416e-01,1.522537e+03,1.886748e-01,-1.302353e+02,-6.784166e-01,1.577548e+03,9.494145e-02,-1.258548e+02,-6.944106e-01,2.530051e+03,8.211597e-02,-1.301226e+02,-6.334534e-01,-1.405163e+01,-4.158967e-01,2.806127e+01,3.124094e-01,2.795944e-02,7.677444e-01,-2.246230e-03,-4.238472e+00,-8.550261e+00,1.810491e+01,-7.743442e-03,5.060221e-03,2.955665e+00,7.481297e-01,5.500000e-01,2.580698e-01,5.725000e-01,5.557146e-01,3
'Ses01M_script03_1_F002.wav',0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.293888e-01,4.714154e-01,1.555650e-01,1.881851e-01,2.853601e-01,1.297951e-01,1.925299e+00,1.301821e+00,1.493752e+00,1.072047e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.010000e+02,0.000000e+00,0.000000e+00,0.000000e+00,-2.010000e+02,0.000000e+00,0.000000e+00,0.000000e+00,-2.010000e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.607242e+00,1.360485e+01,-1.017749e-02,8.860034e-03,2.985075e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.290000e+00,0.000000e+00,3
